audio,caption
dataset/King Perryy - Jojo ft Soft  Terri.mp3,"energetic, lively, upbeat, Afrobeats, male, collaboration, Nigerian artists"
dataset/Sha_Sha_-_Woza_Radio_Edit_72337121.mp3,"upbeat, energetic, afro-house, female, radio edit"
dataset/05-Falz-Shake-Kaka-(JustNaija.com).mp3,"party, energetic, Afrobeats, male, Nigerian"
dataset/Kcee-Tuesday.mp3,"upbeat,happy, Afrobeat, Male, Dance"
dataset/WizKid - Blessed ft Damian Marley.mp3,"uplifting, joyful, afrobeat, reggae, male, collaboration"
dataset/Popcaan x Imeru Tafari - Elevate E.mp3,"upbeat, uplifting, energetic, dancehall, male, collaboration, reggae"
dataset/Chike Ft Oxlade - Spell (Remix).mp3,"romantic, dreamy, Afrobeats, male, collaboration, remix"
dataset/Chike - Ego oyibo.MP3,"upbeat, happy, Afrobeats, male, Nigerian"
"dataset/Neyo ft bebe rexha , stefflon don - Push back.MP3","upbeat, energetic, groovy, R&B, Pop, Male, Female, collaboration, dance"
dataset/Waje - Last time.MP3,"emotional, R&B, female, soulful"
dataset/Tion wayne and russ millions ft ricky rich - Body (remix).MP3,"energetic, catchy, hip hop, rap, male, remix, collaboration"
dataset/Eddy-Kenzo-Free-ft-Justin-Micheal-Williams.mp3,"upbeat, joyous, Afrobeat, male, collaboration, energetic"
dataset/CaltonicSA_-_Boys_70326136.mp3,"energetic, upbeat, amapiano, male, dance"
dataset/Kida Kudz - Again Ft  Geko.mp3,"upbeat, energetic, Afrobeats, Dancehall, male, collaboration"
dataset/Mabel  Crying On The Dance Floor.mp3,"sad, emotional, pop, female, "
"dataset/King Perryy - Denge 3.0 Featuring Marioo, Joshua Baraka and Savara.mp3","energetic, upbeat, Afrobeat, male, collaboration, dance"
dataset/Citizen boy ft dapo tuburna - Aala.MP3,"energetic, afrobeats, male, collaboration"
dataset/Mist ft fredo - So high.MP3,"uplifting, energetic, rap, hip hop, male, "
dataset/Adekunle_Gold_Ft_Ami_Faku_Habib_Koit Chasing Peace Of Mind.mp3,"peaceful, contemplative, Afrobeat, male, collaboration"
dataset/Savage ft dj maphorisa & blxckie - Majo.MP3,"energetic, amapiano, mixed, "
dataset/Olamide - Poverty die.MP3,"upbeat, motivational, Afrobeats, male, Nigerian music"
dataset/T classic - Lykadu.MP3,"upbeat,happy, afrobeat, male, "
dataset/Sofi tukker - Baby i'm a queen.MP3,"energetic, confident, electronic, pop, female, empowering, dance"
dataset/Holla Milley Milez- Srew You (Prod.JayFred) RADIO .mp3,"energetic, upbeat, hip hop, female, radio"
dataset/Blaqbonez - Don't touch.MP3,"energetic,hype, hip hop, male, Nigerian"
dataset/E kelly ft joeboy - Oreke.MP3,"upbeat, happy, afrobeat, male, collaboration"
dataset/L.a.x - Para.MP3,"energetic, upbeat, Afrobeats, male, Nigerian"
dataset/Kayswitch ft wizkid & olamide - For example (remix)_01.MP3,"energetic, upbeat, Afrobeats, male, collaboration, remix"
dataset/Stormzy - Vossi bop.MP3,"energetic, upbeat, rap, male, British"
dataset/Magic System - Premier Gaou (Amapiano Remix).mp3,"upbeat, lively, festive, Amapiano, mixed, remix, dance"
dataset/Johnny drille ft the cavemen - Home.MP3,"peaceful, nostalgic, folk, highlife, male, collaboration, acoustic"
dataset/Kizz Daniel - Poko.mp3,"energetic, dance, afropop, male, upbeat"
dataset/Zubest ft Pelfsound - Highway.mp3,"upbeat, energetic, pop, electronic, mixed, collaboration"
dataset/QingMad - Chargie.mp3,"upbeat, energetic, afrobeat, female, dancing, summer vibes"
dataset/Ajebo Hustlers - Caress.mp3,"energetic, uplifting, Afrobeats, male, Nigerian music"
dataset/Blessings (Radio Edit) Larry Gaaga Ft Jesse Jagz & Tega Strarr.mp3,"uplifting, joyful, afrobeat, mixed, collaboration"
dataset/Omarthedj ft. bella shmurda - 365 days.MP3,"upbeat, energetic, Afrobeat, male, collaboration"
dataset/Seyi shey - Koma roll.MP3,"upbeat, energetic, Afrobeats, female, Dance"
dataset/P-SQUARE - ROLL IT.mp3,"energetic,dance, Afrobeats, male, Nigerian"
dataset/Aka and kddo - Company.MP3,"upbeat, empowering, afrobeat, male, "
dataset/5-Chargie_QingMadi.mp3,"upbeat,happy, pop, female, catchy"
dataset/05 Somandla Ukuphi.mp3,"calm, soothing, gospel, male, South African"
dataset/Praiz - Body Hot ft  Jesse Jagz & Stoneboy.mp3,"sensual, energetic, afrobeat, male, collaboration"
dataset/DRB Lasgidi - Necessary feat  Odunsi (The Engine).mp3,"upbeat, groovy, Afrobeats, male, collaboration, Nigerian music"
dataset/G-TECH-2bit-Lepanta-Ntjwaka-Ft-Focalistic-Freddy-Mablomo.mp3,"energetic, lively, afrobeats, amapiano, male, collaboration, South African music"
dataset/Kuami eugene - Bunker.MP3,"upbeat,happy, Afrobeats, male, Ghanaian"
dataset/Lyta ft seyi vibez - Different conversation.MP3,"upbeat, energetic, Afrobeat, male, collaboration"
dataset/DJ Neptune - Wait Ft  Kizz Daniel.mp3,"energetic, upbeat, Afrobeats, male, collaboration"
dataset/All Day  (Radio Edit) Waje Ft Tiwa Savage.mp3,"energetic, upbeat, Afrobeat, female, collaboration"
dataset/King Perryy - Lola (Freestyle).mp3,"upbeat, energetic, Afrobeats, male, freestyle"
dataset/Ebi carter - Raba.MP3,"energetic,happy, afrobeat, male, upbeat"
dataset/Kwesi Arthur x Kofi Mole - Nirvana.mp3,"upbeat, energetic, lively, afrobeats, hip hop, male, collaboration, Ghanaian artists"
dataset/Korede Bello - Maria.mp3,"upbeat, lively, Afropop, male, Nigerian"
dataset/Idowest - Who.mp3,"energetic, hype, Afrobeats, male, Nigerian music"
dataset/9ice_-_Aye_Labowo.mp3,"uplifting,happy, Afrobeat, male, "
dataset/Sean tizzle - Sure for you.MP3,"romantic, upbeat, afrobeat, male, love song"
dataset/Majeeed - Girls deserve more money.MP3,"uplifting,happy, pop, male, empowerment"
dataset/Blaqbonez Star Life Radio Edit Clean Version.mp3,"upbeat, energetic, hip hop, male, clean version"
dataset/Wizkid - Energy.mp3,"energetic,happy, afrobeat, male, "
dataset/Bella alubo & zoro - Dancia.MP3,"upbeat, dance, Afrobeat, female, collaboration"
"dataset/Young jonn, tiwa savage and kizz daniel - Ello baby.MP3","upbeat, lively, Afrobeats, mixed, collaboration"
dataset/King von ft fivio foreign - I am what i am.MP3,"confident, energetic, hip-hop, male, "
dataset/Wizkid - Roma ft Terri.mp3,"upbeat,happy, afrobeat, male, "
dataset/Kcee-Ebelebe-Ft-Skiibii-Teni.mp3,"upbeat,happy, Afrobeats, male, collaboration"
dataset/Mr 2kay - Who No Like Better Thing.mp3,"upbeat,happy, Afrobeat, male, popular"
dataset/LAX-Loke-Ft-Magicsticks.mp3,"upbeat, energetic, hip hop, male, collaboration"
dataset/Woza.mp3,"energetic, upbeat, afrobeats, male, dance"
dataset/Sje-Konka-Dlala-Ft-K-LeSuper-Xylokeyz.mp3,"upbeat, energetic, Amapiano, male, collaboration, instrumental"
dataset/Teni - Little (Love I Love).mp3,"upbeat,happy, afrobeat, female, catchy"
dataset/Rexxie-Asiko Ft-Lojay- Big Time.mp3,"upbeat,happy, Afrobeats, male, collaboration"
dataset/BNXN BujuTraboskI.mp3,"upbeat,happy, Afrobeat, male, collaboration"
dataset/Sarkodie - No fugazy.MP3,"energetic, confident, hip hop, male, Sarkodie"
dataset/Dj_Obza_-_Idlozi_Lami_Ft_Nkosazana_DJ_FreeTz.mp3,"upbeat,dance, afro house, male, featured artist: Nkosazana, DJ FreeTz"
dataset/Babyboy AV -Risk.mp3,"upbeat, energetic, pop, male, catchy"
dataset/LuuDadeejay-eDuze-Kwako-Ft-Baby-SON-Yumbs.mp3,"upbeat,happy, afrobeat, male, "
dataset/Marshmello ft brent faiyaz - Fell in love.MP3,"romantic, upbeat, EDM, pop, mixed, collaboration"
dataset/Barry-Jhay-Ayonbo.mp3,"upbeat,happy, Afrobeat, male, energetic,catchy"
dataset/Terri - Non stop.MP3,"upbeat, energetic, afrobeats, female, dance"
dataset/Avala - Mo fe be master.MP3,"romantic, groovy, Afrobeat, female, Nigerian"
dataset/Teni - Moslado.MP3,"upbeat, energetic, joyful, Afrobeat, female, Nigerian"
dataset/Ariana grande - No tears left to cry.MP3,"upbeat,happy, pop, female, Ariana Grande"
dataset/Kaybl3ss t42 ft mansa mili - Table for two.MP3,"romantic, chill, R&B, mixed, collaboration, duo"
"dataset/Kabza-De-small-x-Dj-Maphorisa ft-Mlindo-The Vocalist Mashudu , Shino , Kikai Mniki- we-Mali.mp3","energetic, upbeat, amapiano, mixed, collaboration"
dataset/King Perryy & PsychoYP - YKTFV.mp3,"upbeat, energetic, afrobeat, male, collaboration"
dataset/Simi - No Longer Beneficial.mp3,"upbeat, catchy, romantic, Afrobeat, female, Simi, Nigerian music"
dataset/02 Ngeke (feat. Sir Trill & Murumba Pitch).mp3,"upbeat, energetic, lively, Amapiano, male, feat. Sir Trill, Murumba Pitch"
dataset/Dalone x Kadens -Dont Say.mp3,"upbeat, energetic, Electronic, Dance, Male, Collaboration"
dataset/G2 amani - Fire energy.MP3,"energetic, powerful, intense, pop, female, fire"
dataset/VJ Adams - Do Me ft Praiz (Sigag Remix).mp3,"upbeat, groovy, Afrobeat, Remix, Male, collaboration, remix"
dataset/Ayra Starr - Last Heartbreak Song ft. Giveon.mp3,"heartbreak,sadness, R&B, Female, collaboration"
dataset/Asake - Mr money.MP3,"upbeat,happy, Afrobeat, male, "
dataset/Ice-Prince ft Dwillsharmony - Olowo.mp3,"energetic,happy, Afrobeat, male, collaboration"
dataset/Iyanya ft 5ive rings - Zone.MP3,"energetic, Afrobeats, male, collaboration"
dataset/Kabza_De_Small_feat_Wizkid_Burna_Boy_Cassper_Nyovest_Madumane_-_Sponono_70067934.mp3,"energetic,dance, afrobeat,amapiano, male, collaboration"
"dataset/Metro boomin ft swae lee, nav, a boogie wit da hoo - Calling.MP3","energetic, hype, hip hop, male, collaboration"
dataset/Asake-Sunshine (Radio clean).mp3,"upbeat,happy, Afrobeat, female, clean version"
dataset/Otega-Ogo.mp3,"happy, energetic, Afrobeat, male, Nigerian"
dataset/Kizz-Daniel-Feran-Mi-ft-Johnny-Drille.mp3,"emotional, reflective, Afropop, male, collaboration"
dataset/Muyeez - Matter.mp3,"upbeat,energetic, pop, male, catchy"
dataset/Odumodublvck Ft Zlatan Ecko Miles Picanto.mp3,"energetic, upbeat, afrobeats, male, collaboration, Nigerian artists"
dataset/Wakidy banks - Tarh tarh.MP3,"upbeat,happy, Afrobeat, male, dance"
dataset/Mafikizolo ft may d - Happiness.MP3,"happy, afrobeat, mixed, collaboration"
dataset/Ric-Hassani-I-m-Falling-In-Love.mp3,"romantic, love, pop, male, Nigeria"
dataset/Crayon ft rema - Too correct.MP3,"energetic, upbeat, Afrobeat, male, collaboration"
dataset/Dj tarico and burna boy ft preck and nelson tivane - Yaba buluku (remix).MP3,"energetic, upbeat, afro-house, afrobeats, male, remix, collaboration"
dataset/Kaestyle - Soundtrack (Clean).mp3,"energetic, uplifting, rap, male, clean version"
dataset/Makhadzi-Entertainment-Hodalesa.mp3,"upbeat, energetic, afrobeat, female, "
dataset/DJ-Tarico-x-Burna-Boy-Yaba-Buluku-Remix-ft.-Preck-Nelson-Tivane.mp3,"upbeat,dance, afrobeat, male, remix,featured artists"
dataset/Dantay - Blessed.mp3,"upbeat,happy, hip hop, male, "
dataset/Mr JazziQ  Woza Official Audio ft Lady Du Kabza De Small  Boohle.mp3,"upbeat, energetic, amapiano, mixed, collaboration"
dataset/Alfa-Kat-Phone-Yam-Ft.-Banabades-Bomoza.com_.mp3,"energetic,happy, hip hop, male, "
dataset/Raf Don - For The Gram ft. Manu WorldStar & YoungstaCPT.mp3,"upbeat,hype, hip hop, male, collaboration"
dataset/12 Cishe Nga Catcher (feat. DJ Givy Baby).mp3,"energetic, lively, playful, afrobeat, male, feat. DJ Givy Baby"
dataset/Harley - No Collab ft. Generations.mp3,"upbeat,happy, pop, male, "
"dataset/Tanya, Hiro - Bad Days.mp3","sad, introspective, pop, mixed, duet"
dataset/Yung6ix - Money is Relevant ft Phyno  Percy.mp3,"energetic, confident, hip hop, male, collaboration, rap"
"dataset/Blaqbonez ft psycho yp, laycon and a q - Zombie.MP3","energetic, hype, hip hop, male, collaboration"
dataset/Terri - For here.MP3,"upbeat,happy, pop, female, "
dataset/Nadia-Mukami-SIKO-SURE-feat-Darassa.mp3,"upbeat, lively, bongo, afro-pop, female, collaboration"
dataset/Jinmi abduls ft oxlade - Greed.MP3,"upbeat, romantic, afrobeat, male, collaboration"
dataset/Jux ft gyakie - I love you.MP3,"romantic, love, Afrobeat, mixed, collaboration"
"dataset/01 Hamba Wena (feat. Pro Tee, Qveen-rsa, Mzwilili & Kitso Nave).mp3","energetic, upbeat, afro-house, mixed, collaboration, dance"
dataset/Crayon Ft-Magixx - You-vs-You.mp3,"upbeat, energetic, Afrobeat, male, collaboration"
dataset/Rotimi - What To Do.mp3,"upbeat, lively, R&B, male, "
dataset/Uncle waffles - Echoes.MP3,"uplifting, nostalgic, pop, male, "
dataset/Nicki minaj - Fractions.MP3,"energetic, confident, rap, hip hop, female, Nicki Minaj"
dataset/EeQue-Osaletseng-morao-ft-Pcee-Icebeats-Slide-Sbuda-Maleather-Shakes-Les-Sbuda-Maleather-Shakes-Les.mp3,"energetic, lively, hip hop, male, collaboration"
dataset/DJ-Stokie-Awukhuzeki-Ft-Ommit-Sobzeen-Zee_nhle.mp3,"energetic, upbeat, Amapiano, male, collaboration"
dataset/03-Zerrydl-Puff-Pass-Remix-feat-Shallipopi.mp3,"upbeat, energetic, electronic, hip hop, male, remix, featuring female artist"
dataset/Joeboy - Duffel bag.MP3,"upbeat, happy, Afrobeats, male, Nigerian"
dataset/Chloe - Have mercy.MP3,"energetic, lively, pop, female, catchy"
dataset/01 Bambelela (feat. Master KG & Lowsheen).mp3,"uplifting,happy, Afro House, mixed, feat.Master KG,feat.Lowsheen"
dataset/Semi Tee - Isingisi_(muzmo.pro) (1).mp3,"energetic,upbeat, amapiano, male, South African"
dataset/Kiddominant and cassper nyovest - Ewallet.MP3,"energetic, upbeat, Afrobeat, male, collaboration, popular"
dataset/Shatta Wale - When I Bore.mp3,"energetic, uplifting, afrobeat, male, danceable"
dataset/KLINTON K A GOOD NAME.mp3,"upbeat,happy,positive, pop, male, catchy"
"dataset/Empawa africa, mr eazi and king promise - Baby i'm jealous.MP3","upbeat, romantic, Afrobeats, Male, Empawa Africa, Mr Eazi, King Promise"
dataset/01-Uncle-Waffles-ft-Shakes-Les-Sls.mp3,"upbeat,happy, pop, mixed, collaboration"
dataset/Matse_De_Learner_SA_-_Coffin_Dance_Amapiano_Remix-amapianosa.com-.mp3,"upbeat,dance, Amapiano, male, remix"
dataset/OlaDips - Ola Look At You.mp3,"happy, upbeat, hip hop, male, energetic"
dataset/Chisell Fire - Suicide Love .mp3,"passionate, intense, rock, male, heartbreak, emotional"
dataset/Ajebohustlers - Bole & Fish.mp3,"upbeat, lively, Afrobeat, male, Nigerian, street music"
dataset/EL-Korlebu-ft-DOPENATION.mp3,"energetic, upbeat, hip hop, male, collaboration"
dataset/The chainsmokers and bebe rexha - Call you mine.MP3,"uplifting, happy, pop, mixed, collaboration"
dataset/Shoday -  Melanin.mp3,"upbeat, energetic, afrobeats, female, empowering"
dataset/Mr Eazi - Pour Me Water (Remix) Ft Sigag Lauren x Efe Oraka.mp3,"upbeat, energetic, Afrobeats, male, remix, collaboration"
dataset/Collect.mp3,"upbeat,happy,lively, pop, male, catchy"
dataset/Senth-Lucy.mp3,"relaxing, uplifting, pop, female, upbeat"
dataset/B red ft mayorkun - Dance.MP3,"upbeat, Afrobeats, male, "
dataset/Skepta FT PORTABLE - Tony Montana.mp3,"energetic, power, rap, male, collaboration"
dataset/IMANSE FT YABA BULUKU BOYZ - JARA.mp3,"energetic, lively, afrobeat, female, collaboration"
dataset/Kolaboy-Thanksgiving.mp3,"upbeat, thankful, Afrobeat, male, celebratory"
dataset/Lil kesh - Bus stop.MP3,"upbeat, energetic, Afrobeat, male, Nigerian"
dataset/James-BKS-Best-we-can-ft-Ang-lique-Kidjo-Nomcebo-Zikode.mp3,"uplifting, energetic, afrobeat, mixed, "
dataset/Nonso amadi ft majid jordan - Different.MP3,"soulful, mellow, R&B, male, collaboration, slow tempo"
dataset/Kabza-De-small-x-Dj-Maphorisa ft - Deeper Phil -Mayibuye-iAfrica.mp3,"upbeat,happy,energetic, Amapiano, mixed, collaboration, South African music"
dataset/Cardi B - Enough Miami.mp3,"energetic, confident, hip hop, rap, female, upbeat, powerful"
dataset/GYALIS Remix Clean  Capella Greycfeat Chris Brown  Popcaan.mp3,"energetic, upbeat, dancehall, pop, mixed, remix, clean version"
dataset/Ariana grande and social house - Boyfriend.MP3,"upbeat, catchy, pop, female, collaboration, love"
dataset/Joeboy Likkle Riddim Radio Edit Clean Version 2022.mp3,"upbeat,happy, Afrobeats, male, radio edit, clean version"
dataset/Shallipopi - More Than Me.mp3,"happy, upbeat, romantic, pop, R&B, female, love, relationship"
dataset/Ric-Hassani-Osh-Mama.mp3,"upbeat, sentimental, afrobeat, male, Nigerian"
dataset/Guiltybeatz ft cina soul and mr eazi - How long.MP3,"upbeat, romantic, Afropop, mixed, collaboration"
dataset/Tipsy ft harrysong - Destiny.MP3,"upbeat,happy, Afrobeat, male, collaboration"
"dataset/Jeremih ft adekunle gold, 2 chainz - Room.MP3","chill, upbeat, R&B, hip-hop, male, collaboration"
dataset/Boy ocean ft alpha p - If.MP3,"romantic, uplifting, Afrobeats, male, collaboration"
"dataset/Kabza-De-small-x-Dj-Maphorisa ft 2woshortrsa -Stompiiey , ShaunMusiQ , FtearsShaya - Imoto.mp3","energetic, upbeat, Amapiano, mixed, collaboration, South African artists"
dataset/Silence.mp3,"calm, peaceful, melancholic, ambient, instrumental, piano"
dataset/Dr moruti - Redemption.MP3,"uplifting, motivational, house, male, instrumental"
dataset/MAVIN ALL I'M SAYING.mp3,"upbeat, energetic, positive, pop, male, catchy"
"dataset/Lsd ft sia, diplo and labrinth - Mountains.MP3","empowering, uplifting, pop, electronic, mixed, collaboration"
dataset/Lad-Ma-Wo-Mi-South-Ah-Remix-ft-Zuchu.mp3,"upbeat, energetic, Afrobeat, male, remix, featuring Zuchu"
dataset/Majeeed - Cheers to life.MP3,"upbeat,happy,celebratory, pop, male, party"
dataset/Headie one ft drake - Only you freestyle.MP3,"upbeat,hype, hip hop, male, collaboration"
dataset/Superstar-Yb-LOVE-IN-LAGOS-ft-Chinko-Ekun-(JustNaija.com).mp3,"upbeat, energetic, Afrobeat, male, collaboration"
dataset/Olakira - Summertime Ft  Moonchild Sanelly.mp3,"upbeat,summer, Afrobeat, male, collaboration"
dataset/Yemi alade ft kranium - My man.MP3,"upbeat, romantic, Afrobeat, Dancehall, female, collaboration, love song"
dataset/Dj-Maphorisa-Weh-Mama-ft-Tman-Xpress-Kabza-De-Small-(JustNaija.com).mp3,"upbeat, energetic, amapiano, male, collaboration, popular"
dataset/Berri-Tiga-Egopiano-ft-Tekno clean.mp3,"upbeat,happy, Afrobeat, male, collaboration,uplifting"
dataset/Mansa Cole ft Molazzi- Hero.mp3,"uplifting, motivational, hip-hop, male, collaboration, hero"
dataset/Seyi Vibez Ft Simi Darling (Radio Edit) Clean Version.mp3,"romantic, happy, Afrobeat, male, collaboration"
dataset/MY FAULT - RUNDA.mp3,"energetic, upbeat, hip hop, male, catchy"
dataset/Ajebutter22 Ft Toby Shang  Amapiano X Shisha.mp3,"upbeat, groovy, Amapiano, male, collaboration"
dataset/Young Jonn - Next To You ft Vedo.mp3,"upbeat, romantic, Afrobeat, R&B, male, collaboration"
dataset/Lil nas x - Dead right now.MP3,"sad, melancholic, pop, hip hop, male, Lil Nas X"
dataset/Teni - Keresimesi.mp3,"festive, joyful, afrobeats, female, Christmas"
dataset/Yemi alade ft patoranking - Temptation.MP3,"upbeat,dance, afrobeat, female, collaboration"
dataset/9 FIREBOY- OMO OLOGO MS.mp3,"upbeat, energetic, Afrobeats, male, Nigerian"
dataset/Dj maphorisa and kabza de small ft mark khoza - Vumanii bo.MP3,"upbeat, energetic, Amapiano, mixed, collaboration"
dataset/Davido - Wonder woman.MP3,"upbeat,happy, Afrobeat, male, Nigerian music"
dataset/Tekno Ft Shallipopi So What.mp3,"energetic, upbeat, Afrobeat, male, "
"dataset/Felo Le Tee, Mellow & Sleazy & SjavasDaDeejay - Gedlela (feat. Kabelo Sings & Keynote).mp3","upbeat,energetic, Amapiano, mixed, collaboration"
dataset/Gyakie and aka - Paradise.MP3,"upbeat, romantic, Afrobeat, Hip-hop, female, collaboration"
dataset/Rema - Calm Down Radio Edit.mp3,"calm,relaxing, pop, male, "
dataset/Dammy_Krane_Ft_Candy_Bleakz_-_Aje_Re-Up_.mp3,"upbeat,happy, Afrobeat, male, collaboration"
dataset/DJ Spinall - Calm Down Ft  Mr  Eazi.mp3,"calm,relaxing, Afrobeats, male, upbeat"
dataset/Ycee - Tell Nobody.mp3,"chill, mysterious, Afrobeats, male, catchy"
dataset/Mayorkun & victony - Holy father.MP3,"upbeat, spiritual, Afrobeat, Male, "
dataset/Show dem camp ft boj - Different case.MP3,"upbeat, energetic, Afrobeat, male, collaboration"
dataset/Native_Sound_System_Ft_Cruel_Santino_-_EDMP_E_Dey_Move_Person_.mp3,"energetic, upbeat, EDM, mixed, collaboration, Nigerian artist"
dataset/Sarkodie Ft Kranium Forever.mp3,"uplifting, inspiring, hip hop, male, collaboration, international"
dataset/Guchi-Feeling-Good-Ft-Bayanni Clean.mp3,"happy, energetic, afrobeat, female, upbeat, collaboration"
dataset/VEEYAH FALL IN LOVE (ORIGINAL TRACK) .mp3,"romantic, happy, pop, female, original track"
dataset/Efe x Slowdog - Bad Guy.mp3,"energetic, upbeat, Afrobeats, male, collaboration"
dataset/Coblaze-Trenches-Boy.mp3,"energetic, powerful, hip hop, male, "
dataset/Nonso Amadi - Eye to Eye.mp3,"chill, smooth, romantic, R&B, male, "
dataset/Bedouin  Set The Control For The Heart Of The Sun.mp3,"energetic, psychedelic, rock, mixed, cover song"
dataset/J cole ft 21 savage and morray - My life.MP3,"introspective, reflective, hip hop, male, collaboration, featured artists"
dataset/Pheelz & Buju - Finesse.mp3,"upbeat, groovy, Afrobeats, male, collaboration"
dataset/Shatta Wale and Tekno - Incoming.mp3,"energetic, upbeat, Afrobeats, male, collaboration"
dataset/Yemi Alade - Ogini.mp3,"energetic,happy, Afrobeats, female, Nigerian"
dataset/Nkiru - Suffer.mp3,"upbeat, energetic, Afrobeats, female, Nigerian"
dataset/Bryson tiller - Next to you.MP3,"romantic, love, R&B, male, soulful"
dataset/Sarkodie Ft King Promise Labadi.mp3,"upbeat, energetic, hip hop, male, collaboration"
dataset/Davido Over Dem I Be David For Life.mp3,"energetic,happy, afrobeat, male, Nigeria"
dataset/King Promise - Continental ft. Shallipopi.mp3,"upbeat,happy, Afrobeats, male, collaboration,featured artist"
dataset/Santi ft kida kudz - Raw dinner.MP3,"energetic, lively, afrobeat, male, collaboration"
dataset/Imagine dragons - Bad liar.MP3,"melancholic, reflective, pop, mixed, emotional, introspective"
dataset/Billnass-Maokoto-ft-Marioo-(JustNaija.com).mp3,"upbeat, energizing, Bongo Flava, Male, collaboration, Tanzanian music"
dataset/Labrinth - No ordinary.MP3,"upbeat, energetic, pop, male, nostalgic"
dataset/Moonchild Sanelly - CUTE.mp3,"energetic, fun, quirky, electronic, pop, female, upbeat"
dataset/Kizz-Daniel Ft-Blaqbonez - One-Dollar.mp3,"energetic, upbeat, Afrobeats, male, collaboration"
dataset/Jahbone Budget.Mp3,"energetic,happy, reggae, male, upbeat"
dataset/Nonso Amadi ft Zinoleesky Lock Up.mp3,"romantic, chill, Afrobeats, male, collaboration, Nigerian music"
dataset/Patoranking ft davido - Confirm.MP3,"energetic, upbeat, Afrobeat, Dancehall, male, collaboration"
dataset/Fish go deep ft tracey k - The cure and the cause.MP3,"upbeat,happy, house, mixed, vocal"
dataset/Seyi-Vibez-Apala-Interlude.mp3,"calm, reflective, Afrobeats, male, Nigerian"
dataset/G2 amani - My corner.MP3,"upbeat,happy, pop, female, love"
dataset/Isah ft aylo - Purple heart.MP3,"romantic, R&B, male, collaboration"
dataset/Timi-Dakolo-Ke-Na-Ke-So gospel.mp3,"uplifting, inspiring, gospel, male, Timi Dakolo"
dataset/DJ-808-KONSENTRAIIT-Ft-Minz-Toy.mp3,"energetic, upbeat, EDM, male, "
dataset/Praiz - Mine.mp3,"romantic, soothing, R&B, male, lovesong"
dataset/Kwesi Arthur - Pain Interlude.mp3,"emotional, reflective, hip hop, rap, male, interlude"
dataset/Sean Tizzle Ft LAX - No Shame.mp3,"upbeat, energetic, Afrobeats, male, collaboration"
dataset/Mystro - Issavibe Ft Davido.mp3,"energetic, upbeat, afrobeat, male, collaboration"
dataset/Lhf ft vector - Burst your head.MP3,"energetic, aggressive, hip hop, rap, male, collaboration"
dataset/Kizz daniel - Eko.MP3,"upbeat,happy, afrobeats, male, Nigeria"
dataset/Amerado-Fa-Me-Saa-ft-Kwaku-DMC.mp3,"upbeat,happy, hip-hop, male, collaboration"
dataset/Yemi alade - Bum bum.MP3,"energetic, dance, Afropop, female, upbeat"
dataset/Joeboy-Concerning.mp3,"upbeat, joyful, lively, Afrobeats, male, catchy"
"dataset/Kabza-De-small-x-Dj-Maphorisa ft Mashudu, LeandraVert , Chronical Deep-Yiyo.mp3","upbeat, energetic, dance, Amapiano, male, collaboration, South African"
dataset/Juls ft tobi - Beg friend.MP3,"upbeat,happy, Afrobeats, mixed, collaboration, summer vibes"
dataset/Mayorkun - Soldier boy.MP3,"upbeat, energetic, Afrobeats, male, N/A"
