audio,caption
dataset/Ice Prince - No Mind Dem Ft  Vanessa Mdee.mp3,"confident, upbeat, hip hop, male, collaboration"
dataset/Shallipopi Ex Convict.mp3,"upbeat,happy, pop, male, "
dataset/Falz - Ndi Ike  Ft Flavor Ft Odumodublvck.mp3,"energetic,happy, Afrobeat, male, "
dataset/Flav Ft Tonye - Slowly -.mp3,"romantic, soothing, R&B, male, collaboration, slow tempo"
dataset/Beyonce - Bigger.MP3,"empowering, uplifting, pop, R&B, female, inspirational"
dataset/Sosatheprodigy - Utaniget (feat. Scar Mkadinali).mp3,"energetic,hype, hip-hop, male, feat. Scar Mkadinali"
dataset/Big sean & hit-boy - What a life.MP3,"upbeat, energetic, hip hop, male, collaboration"
dataset/Shallipopi-Things-on-Things.mp3,"upbeat,happy, pop, female, catchy"
dataset/YBB - Billions ft. Didi B.mp3,"energetic, upbeat, hip hop, rap, mixed, collaboration, energetic"
dataset/Spyro - Only Fine Girl (mp3).mp3,"upbeat, playful, pop, male, "
dataset/Pheelz - Go Low.mp3,"energetic, upbeat, afrobeat, male, dancing, party"
dataset/Kabza De Small - Abalele_(muzmo.pro).mp3,"upbeat, energetic, Amapiano, male, dance, party"
dataset/Goldlink ft wizkid - No lie.MP3,"upbeat, energetic, hip hop, afrobeat, male, collaboration"
dataset/Queen-Parker-SOLA-Prende-la-Cabina-Freestyle.mp3,"energetic,hype, hip hop, male, "
dataset/Fireboy dml ft chris brown and shenseea - Diana.MP3,"energetic, upbeat, Afrobeats, R&B, male, female, collaboration, international"
dataset/Zootopia  Try Everything  Shakira.mp3,"upbeat,happy, pop, female, movie soundtrack"
dataset/Pryme ft Bella shmurda - Gbera.mp3,"energetic, upbeat, afrobeats, mixed, collaboration"
dataset/Zlatan - Unripe pawpaw.MP3,"upbeat, energetic, afrobeat, male, "
dataset/Wurld  ft sarz - Location.MP3,"upbeat, Afrobeat, male, collaboration"
dataset/Harmonize-Dear-X.mp3,"happy, romantic, bongo, male, love song"
dataset/Soundz  Attention.mp3,"energetic, upbeat, pop, male, catchy"
dataset/BLS - Na Money Be Man.mp3,"upbeat, energetic, Afrobeats, male, Nigerian"
dataset/Mayorfash Under Pressure.mp3,"energetic, uplifting, hip hop, male, fast tempo"
dataset/Mdoovar-Mhlaba-wonke-Ft-Fka-Mash-Sino-Msolo-Mthunzi-Da-Ish.mp3,"upbeat, energetic, amapiano, male, collaboration"
dataset/Burna-Boy-Tested-Approved-Trusted.mp3,"energetic,happy, afrobeat, male, upbeat,positive"
dataset/Davido Music Worldwide-HKN Presents- MaYorKun - ELEKO.mp3,"energetic, upbeat, Afrobeats, male, Davido Music Worldwide, HKN"
dataset/Ed sheeran and pok mon - Celestial.MP3,"uplifting,happy, pop, male, collaboration,celestial"
dataset/Diamond platnumz ft adekunle gold - Sona.MP3,"upbeat, energetic, Afrobeat, male, collaboration"
dataset/Rema - Woman.mp3,"upbeat, empowering, Afrobeats, male, Nigerian"
dataset/Buju - Daniel benson.MP3,"upbeat,happy,energetic, afrobeat, male, collaboration"
"dataset/Crayon, Victony & Ktizo- Belle Full.mp3","upbeat,happy, afrobeat, mixed, collaboration"
dataset/FAVE - Belong To You.mp3,"upbeat, happy, romantic, pop, female, "
dataset/Olamide ft omah lay - Infinity.MP3,"upbeat, romantic, Afrobeats, male, collaboration"
dataset/Zinoleesky - A1 (Feeling Disorder).mp3,"upbeat, energetic, Afrobeats, male, Feeling Disorder"
dataset/Shallipopi - Obapluto.mp3,"upbeat,happy,energetic, pop, female, catchy"
dataset/Vector - This Vector Sef.mp3,"fun, energetic, hip hop, male, Nigerian music"
dataset/PsychoYP Ft YCee Nigerian Man.mp3,"energetic, upbeat, Afrobeat, male, Nigerian"
dataset/NAYDU -NUKE  SELENSE.mp3,"upbeat, energetic, Afropop, male, danceable"
dataset/Lil Nas X NBA YoungBoy  Late To Da Party Clean.mp3,"energetic, fun, hip hop, male, collaboration, clean version"
dataset/Ms banks ft geko - Back it up.MP3,"energetic, upbeat, hip hop, female, collaboration, dance"
dataset/Burna Boy  Wild Dreams feat Khalid.mp3,"wild, dreamy, afrobeat, male, collaboration"
dataset/Blaqbonez-Bling-ft.-Amaarae-Buju dflamz radio .mp3,"energetic, groovy, Afrobeats, Hip-hop, male, collaboration"
dataset/MYRON - ALEX OTTI .mp3,"energetic, uplifting, pop, male, collaboration"
dataset/Dremo_-_Ringer_ft_Reekado_Banks dflamz clean .mp3,"upbeat, energetic, Afrobeats, male, collaboration, Nigerian"
dataset/Majeeed ft rotimi - Slip and slide.MP3,"upbeat, groovy, romantic, R&B, male, collaboration"
dataset/Dave & wizkid - System.MP3,"energetic, upbeat, afrobeat, male, collaboration"
dataset/M.i abaga ft sinzu and eriga - Tbdk.MP3,"energetic,hype, hip hop, male, collaboration"
dataset/Blaqbonez-WAIT-LET-ME-GET-THE-TISSUE clean.mp3,"energetic, upbeat, hip hop, male, clean version"
dataset/Suited (SynX Remix) __ NaijaVibes.com.mp3,"upbeat, energetic, EDM, male, "
dataset/Mohbad - Peace.mp3,"peaceful,hopeful, Afrobeats, male, "
dataset/Prettyboy d-o & pa salieu - Lord protect my steppings.MP3,"energetic, powerful, afrobeats, hip-hop, male, collaboration, international"
dataset/Gyakie - Whine .mp3,"upbeat, romantic, Afrobeats, female, popular"
dataset/Damo K ft Zlatan  Rasaqi NFG  Grind Remix.mp3,"energetic, hype, Afrobeats, male, remix, collaboration"
dataset/Runtown - Goose bumps.MP3,"upbeat,happy, afrobeat, male, dance"
dataset/Riton and oliver heldens ft vula - Turn me on.MP3,"upbeat, energetic, house, mixed, collaboration"
dataset/Jinmi Abduls - Sarafina.mp3,"romantic, soothing, Afrobeats, male, "
dataset/Beyonce and kendrick lamar - Nile.MP3,"upbeat,powerful, pop,r&b, female,male, collaboration"
dataset/Soft - Naughty.mp3,"soft, naughty, na, "
dataset/Crayon ft bella shmurda - Jackpot.MP3,"upbeat,dance, afrobeat, mixed, "
dataset/Dj-Maphorisa-Endomie-Ft-Tman-Xpress-Xduppy-Madumane-(JustNaija.com).mp3,"upbeat, afrobeats, male, collaboration"
dataset/Tekno - Mufasa.MP3,"energetic, upbeat, afrobeat, male, Nigerian artist"
dataset/Rema - Corny.mp3,"romantic, chill, Afrobeat, male, Nigerian"
dataset/Whethan & dua lipa - High.MP3,"upbeat,energetic, electronic, mixed, collaboration"
dataset/Ycee - Omo Alhaji (Remix) ft  DJ Maphorisa.mp3,"urban, energetic, Afrobeats, male, remix, featuring DJ Maphorisa"
dataset/Kabza-De-small-x-Dj-Maphorisa ft Xduppy-Makhadzi-TmanXpress - Serope.mp3,"energetic, lively, amapiano, mixed, "
dataset/Ice-Beats-Slide-Area-41-ft-Sbuda-Maleather.mp3,"energetic,upbeat, hip hop, male, collaboration"
dataset/Wavy the creator ft. ckay & efya - Stella riddim.MP3,"upbeat, smooth, Afrobeat, mixed, collaboration"
dataset/Victor AD - Tire U ft Davido.mp3,"melancholic, hopeful, Afrobeat, male, collaboration, Nigerian artists"
"dataset/Rayvanny ft dj maphorisa , dj buckz - Makulusa.MP3","energetic, afrobeat, multiple, collaboration"
dataset/Bayanni - Kala.MP3,"upbeat,happy, Afrobeats, male, Afrofusion"
dataset/Chris brown - We (warm embrace).MP3,"warm, romantic, R&B, male, embrace, love"
dataset/Olamide - Awon Goons Mi.mp3,"hype, energetic, confident, hip hop, afrobeats, male, Nigerian"
dataset/Joha (Radio Edit) Asake.mp3,"energetic, uplifting, danceable, afrobeats, male, radio edit, artist: Asake"
dataset/Phyno - Ojimo.MP3,"energetic, rhythmic, hip hop, male, Nigerian"
dataset/Tomi thomas - Again.MP3,"upbeat,happy, afrobeat, male, Nigeria, dance"
dataset/Jayslite - Golden.mp3,"happy, upbeat, pop, male, catchy"
dataset/Olamide - Baddo Love.mp3,"romantic, Afrobeat, male, Nigerian"
dataset/Zayn Malik - What I am.mp3,"laid-back, reflective, R&B, male, soulful"
"dataset/1da Banton, Bella Shmurda - Evidence.mp3","upbeat, energetic, Afrobeats, male, collaboration"
dataset/Falz x Simi - Chemistry.mp3,"romantic, soulful, Afrobeat, mixed, collaboration"
dataset/Victor_AD_Wetin_We_Gain_Naijaonpoint_com.mp3,"uplifting, Afrobeat, male, Nigerian"
dataset/Iwaata - klu klum klum.mp3,"energetic, upbeat, dancehall, male, Jamaican"
dataset/Mayorkun - Of lagos.MP3,"upbeat, energetic, Afrobeat, male, Nigerian music"
dataset/Fireboy dml - Playboy.MP3,"upbeat, afrobeat, male, Nigerian"
dataset/Ckay ft blaqbonez - Hallelujah.MP3,"uplifting, energetic, afrobeats, male, collaboration"
dataset/Ruger - Snapchat.MP3,"upbeat, energetic, Afrobeats, male, Nigerian"
dataset/Idyl ft rowlene - Satisfy.MP3,"sensual, smooth, R&B, mixed, collaboration"
dataset/Lil kesh - Yagi level.MP3,"energetic,hype, Afrobeats, male, Lil Kesh"
dataset/Davido_Ft_Morravey_-_In_The_Garden.mp3,"energetic, happy, Afrobeats, male, collaboration"
dataset/Poco lee and hotkid - Otilo.MP3,"upbeat,happy, Afrobeats, male, dance"
dataset/Ketchup ft flavor - Sweet.MP3,"upbeat,happy, Afrobeats, male, collaboration,party"
dataset/Fireboy DML Ft Ed Sheeran - Peru Remix .mp3,"upbeat, romantic, Afrobeats, Pop, male, collaboration, remix"
dataset/Adekunle gold ft odumodublvck - Wrong person.MP3,"soulful, emotional, Afrobeat, male, collaboration"
dataset/Maleek berry - Flashy.MP3,"energetic, afrobeat, male, upbeat,dance"
dataset/Crayon - Kpano.MP3,"upbeat, afrobeat, afrobeat, male, dance, party"
dataset/King joel ft. buju - Zombie.MP3,"relaxed, groovy, afrobeats, hip-hop, male, collaboration"
dataset/Kizz Daniel Never.mp3,"upbeat,happy, afrobeat, male, catchy"
dataset/Dababy ft roddy ricch - Rockstar.MP3,"energetic,hype, rap, male, collaboration"
dataset/Tonight - VASA.mp3,"upbeat, energetic, pop, electronic, mixed, party"
dataset/Young t and bugsey - Again.MP3,"energetic, upbeat, hip-hop, male, popular"
dataset/Mabel ft Kojo Funds - Finders Keepers.mp3,"upbeat, catchy, pop, R&B, female, collaboration"
dataset/sholz-Pattern-Gang-ft-ODUMODUBLVCK-Teezee-Smada.mp3,"energetic, upbeat, Afrobeats, male, collaboration"
dataset/Ycee - My side.MP3,"upbeat,happy, afropop, male, Nigerian"
dataset/4. Au revoir (Voulez vous).mp3,"upbeat,dance, pop, mixed, French"
dataset/Tumza-D-kota-Mtlakase-ft-Dinho-Kota-Embassy.mp3,"Energetic, Upbeat, Amapiano, Male, Collaboration"
dataset/Shallipopi Start.mp3,"happy, upbeat, energetic, pop, female, "
dataset/Minding My Business - Korede Bello.mp3,"upbeat,happy, Afrobeats, male, Nigerian"
"dataset/Sipho Magudulela – Dali ft. Russell Zuma, Jessica LM & Frank Mabeat.mp3","upbeat,happy, Afro pop, mixed, collaboration"
dataset/ZahZah - Miss You.mp3,"nostalgic, longing, R&B, Male, heartbreak, memories"
dataset/Megadrumz-Umoya-Ft-Murumba-Pitch.mp3,"energetic, powerful, Afro House, male, drum beats, collaboration"
dataset/Omah lay ft tay iwar - Tell everybody.MP3,"relaxed, chill, Afrobeats, male, collaboration, Nigerian music"
dataset/Tesh Carter - Monster.mp3,"energetic, hip hop, female, upbeat"
dataset/Patoranking - Amazing Grace ft  Beenie Man.mp3,"uplifting,happy, reggae, male, collaboration"
dataset/Kida kudz and sons of sonix ft teni - Money.MP3,"energetic, happy, Afrobeats, male, collaboration"
dataset/Orezi-No-Advise-Me.mp3,"energetic,happy, Afrobeat, male, upbeat"
dataset/Young thug and juice wurld - Bad boy.MP3,"energetic, rebellious, hip hop, rap, male, collaboration"
dataset/Ecool - Onome ft Dremo Zlatan & Mayorkun.mp3,"upbeat, energetic, lively, Afrobeats, male, collaboration"
dataset/Roletta - Pon it.mp3,"upbeat, energetic, dancehall, female, summer vibes"
dataset/Kida Kudz - Again (Remix) Ft Olamide.mp3,"energetic, upbeat, afrobeats, male, collaboration, remix"
dataset/Beyonce - Cuff it.MP3,"empowering, energetic, confident, hip hop, R&B, female, uptempo"
dataset/Musa keys ft loui and victony - Selema(po po) (remix).mp3.MP3,"upbeat, lively, Afrobeats, mixed, remix, collaboration"
dataset/Popcaan ft drake and partynextdoor - Twist and turn.MP3,"upbeat, groovy, dancehall, pop, male, collaboration"
dataset/Arrdee ft cat burns - Home for my heart.MP3,"upbeat, emotional, pop, mixed, collaboration, love"
dataset/Medusa (Radio Edit) Layzee Ella Ft Khaid.mp3,"upbeat, energetic, pop, mixed, collaboration"
dataset/Burna Boy Ft GZA I Told Them.mp3,"energetic, confident, Afrobeat, Hip-hop, male, collaboration"
dataset/Becky g ft burna boy - Rotate.MP3,"energetic,dance, pop,afrobeat, female,male, collaboration"
dataset/Ed sheeran ft stormzy - Shape of you.MP3,"upbeat,dance, pop, male, collaboration"
dataset/Davido ft mayorkun and sho madjozi - I got a friend.MP3,"energetic,upbeat,happy, Afrobeats, male,female, collaboration"
dataset/Crayon ft victony - Belle full.MP3,"upbeat,happy, Afrobeats, mixed, collaboration"
"dataset/Fiokee, chike & gyakie - Follow you.MP3","romantic, soothing, Afrobeat, R&B, mixed, collaboration"
dataset/Skepta ft wizkid and lay z - Glow in the dark.MP3,"energetic, upbeat, hip hop, afrobeat, male, collaboration"
dataset/Popcaan ft drake - We caa done.MP3,"energetic, upbeat, dancehall, male, collaboration"
dataset/Crayon - Wetin Go Be.mp3,"upbeat, energetic, Afrobeats, male, Nigerian"
dataset/Olamide - Confam Ni Ft  Wizkid.mp3,"energetic, upbeat, Afrobeat, male, collaboration, Nigerian music"
dataset/Laycon ft ykb - Fall for me.MP3,"romantic, love, afrobeats, male, Nigerian music"
dataset/Nissi  - Overthinking.mp3,"reflective, calm, introspective, R&B, Soul, female, chill"
dataset/Terri ft bnxn - Danger (remix).MP3,"energetic, upbeat, hip hop, mixed, remix"
dataset/DEALER-AYO MAFF X FIREBOY.mp3,"energetic, upbeat, afrobeat, male, collaboration"
dataset/Omah-Lay ft Ozuna-SOSO REMIX.mp3,"upbeat, energizing, afrobeat, reggaeton, male, collaboration"
dataset/Pray For The Crown (Radio Edit) L.A.M.B.mp3,"upbeat, energetic, pop, female, radio edit"
dataset/Jason-Aldean-Let-Your-Boys-Be-Country.mp3,"upbeat, lively, country, male, western"
dataset/SUGARBANA FT MR REAL & SMANGORI - WINNER.mp3,"energetic,happy, afrobeat, mixed, collaboration"
dataset/Orezii - Kiss Me.mp3,"romantic, happy, pop, female, love song"
dataset/Machine gun kelly - Loco.MP3,"energetic, intense, rap, hip-hop, male, Machine Gun Kelly"
dataset/Berri-Tiga-Looking.mp3,"upbeat, energetic, pop, female, catchy"
dataset/Jae5 ft bnxn and pajel - Propeller (remix).MP3,"energetic, upbeat, Afrobeat, mixed, remix"
dataset/Tekno - After party.MP3,"upbeat, party, Afrobeats, male, club, dance"
dataset/Boj ft davido and mr eazi - Abracadabra.MP3,"upbeat, groovy, Afrobeats, male, collaboration"
dataset/Patoranking - Abobi.mp3,"upbeat, energetic, dancehall, male, Nigerian"
dataset/Ycee - Don't Need Bae.mp3,"upbeat, energetic, hip hop, male, empowering"
dataset/Yingi mao - Forgive .mp3,"uplifting,hopeful, pop, female, forgiveness,peace"
dataset/Stefflon don ft lil baby - Phone down.MP3,"upbeat, energetic, hip hop, female, collaboration"
dataset/Lb - Matter.mp3,"upbeat,happy, pop, male, "
dataset/Blackface ft marcakay - Naughty  with you.MP3,"romantic, sensual, R&B, Male, "
dataset/Olamide Ft Bnxn -  Come Alive.mp3,"energetic, lively, Afrobeat, male, "
dataset/Efya ft tiwa savage - The one.MP3,"upbeat, romantic, Afrobeats, female, collaboration"
dataset/Medikal Ft Sarkodie - We Made It.mp3,"energetic, inspirational, hip hop, male, collaboration"
dataset/Valiant - Dunce Cheque.mp3,"upbeat,energetic,happy, pop, male, fun,catchy"
dataset/Spyro ft Phyno- Shutdown.mp3,"energetic, upbeat, afrobeats, male, collaboration"
dataset/Harry styles - Watermelon sugar.MP3,"summer, happy, energetic, pop, male, love, beach, refreshing"
dataset/Sarkodie ft zlatan and rexxie - Hasta la vista.MP3,"energetic, upbeat, hip hop, afrobeats, multiple, collaboration"
dataset/Skales - For You.mp3,"Upbeat,Happy, Afropop, Male, Love,Relationship"
dataset/Greyc - Ibadi.MP3,"energetic, upbeat, afrobeats, male, dance"
dataset/Party No Dey Stop.mp3,"upbeat, lively, Afrobeats, male, party, dance"
dataset/Drake - Laugh now cry later.MP3,"energetic, hopeful, hip hop, male, Drake"
dataset/Eddy-Kenzo-Practical.mp3,"upbeat,happy, afrobeat, male, dance"
dataset/Damo-K-Oghenedo-ft-Jeriq.mp3,"energetic, upbeat, Afrobeats, male, collaboration"
dataset/Moliy - Hard  Feat Moonchild Sanelly.mp3,"energetic,hype, hip hop, female, collaboration"
dataset/Johnny Drille - For you.mp3,"sentimental, romantic, Afrobeat, male, Nigerian"
dataset/Skiibii - Trenches.MP3,"energetic, upbeat, Afrobeats, male, Nigerian"
dataset/French montana ft pop smoke - Double g.MP3,"energetic, hype, rap, male, collaboration"
dataset/John legend ft saweetie - All she wanna do.MP3,"romantic, smooth, R&B, mixed, collaboration"
dataset/Lojay ft sarz and chris brown - Monalisa (remix).MP3,"upbeat, romantic, Afrobeat, R&B, male, collaboration"
dataset/Praiz - Dey with you.mp3,"romantic, soothing, R&B, male, collaboration"
dataset/Fireboy - What if i say.MP3,"melancholic, contemplative, Afrobeats, male, love, heartbreak"
dataset/Shawn mendes - If i can't have you.MP3,"upbeat, energetic, pop, male, catchy"
dataset/Dj spinall ft dice ailes - Pressuer.MP3,"energetic, upbeat, Afrobeat, male, collaboration"
dataset/Burna boy - Science.MP3,"upbeat, energetic, Afrobeat, male, Nigeria, Burna Boy"
dataset/Skales - I still Dey.mp3,"upbeat, energetic, Afrobeats, male, Nigerian"
dataset/Kizz daniel - Jaho.MP3,"upbeat,happy, Afrobeat, male, Nigerian"
dataset/Praiz - Madu.mp3,"romantic, soothing, Afrobeat, male, Nigerian"
dataset/Chiké  Spell.mp3,"soulful, emotional, Afrobeats, male, "
dataset/Skiibii - Trenches.mp3,"energetic, dynamic, afrobeat, male, Africa, dance"
dataset/Balloranking-We-Up-ft-Dyani.mp3,"energetic, positive, Afropop, male, collaboration"
dataset/Davido ft major lazer - Unavailable remix.MP3,"upbeat, afrobeat, male, remix"
dataset/Davido - Disturbance Ft  Peruzzi.mp3,"energetic, playful, afrobeat, male, collaboration"
dataset/Nav - Friends and family.MP3,"upbeat,happy, hip hop, male, Nav"
dataset/Victony - All power.MP3,"uplifting, powerful, hip hop, male, Nigerian artist"
dataset/BIG BIG TINZZZ - YOUNG JONN-FT. KIZZ DANIEL & SEYI VIBEZ.mp3,"lively, energetic, afrobeats, pop, male, collaboration"
dataset/Gyakie ft davido - Flames.MP3,"upbeat, romantic, afrobeat, female, male, collaboration"
dataset/Pheelz - Wayward girl.MP3,"upbeat, lively, Afrobeats, male, Nigerian"
dataset/Reminisce - Owo Re.mp3,"nostalgic,reflective,happy, Afrobeats, male, Nigeria"
dataset/Yemi Alade - My Man Ft  Kranium.mp3,"upbeat, romantic, Afrobeats, female, collaboration"
"dataset/Dj vetkuk vs mahoota busiswa,kwesta,sbucardo,dj em - Masambeni.MP3","energetic, upbeat, house, mixed, collaboration"
dataset/Travis scott ft young thug and m.i.a - Franchise.MP3,"energetic,hype, hip hop, male, collaboration"
dataset/Victony ft Shallipopi - Ludo.mp3,"uplifting,happy, Afrobeats, female, collaboration,duet"
dataset/Ycee - Nu Riddim.mp3,"upbeat,happy, Afrobeats, male, dance"
dataset/Confirmed-Joefes-ft-Fathermoh-and-Odi-Wa-Muranga-Confirmed-Joefes-ft-Fathermoh-and-Odi-Wa-Muranga.mp3,"energetic, upbeat, Afrobeat, male, collaboration, African"
dataset/Mr eazi ft burna boy - Miss you bad.MP3,"melancholic, longing, Afrobeat, male, collaboration, popular"
dataset/Rema - American love.MP3,"romantic,sensual,uplifting, Afrobeat, male, pop"
dataset/Let Me Be.mp3,"upbeat, happy, empowering, pop, female, feel-good"
"dataset/Lauv and anne marie - Fck, i'm lonely.MP3","lonely, Pop, Mixed, featured artists: Lauv, Anne Marie"
dataset/Minz5-Amapiano-101-Ft-The-Lowkeys-Pcee.mp3,"upbeat,dance, Amapiano, mixed, collaboration"
dataset/Skiibii - Are You Vhere.mp3,"upbeat,happy, afrobeats, male, popular"
dataset/Burna Boy - Ja Ara E.mp3,"upbeat, energetic, Afrobeat, male, Nigerian"
dataset/Bestille - Those nights.MP3,"upbeat, pop, female, nostalgic"
dataset/Wandecoal Feat. Olamide - Kpe Paso.mp3,"energetic, lively, Afrobeat, male, collaboration"
dataset/DJ Tunez - Turn Up  Ft  Wizkid & Reekado Banks.mp3,"energetic, upbeat, Afrobeats, male, collaboration, Nigerian music"
dataset/Sarkodie ft kwesi arthur - Coachella.MP3,"energetic, upbeat, hip hop, rap, male, collaboration"
"dataset/Yaw tog ft stormzy, kwesi arthur - Sore (remix).MP3","energetic, powerful, hip hop, male, remix"
dataset/Selebobo - Ova ft Tekno.mp3,"upbeat,happy, Afrobeat, Male, "
dataset/TJan - Aduke.mp3,"romantic, soothing, joyful, Afrobeat, male, "
dataset/Neru americanao - Zaranza.MP3,"energetic,happy, pop, male, "
dataset/Blaqbonez Back On BS Radio Edit Clean Version.mp3,"energetic, upbeat, hip hop, male, clean version"
dataset/Olamide - Won ma.MP3,"energetic, upbeat, Afrobeats, male, Nigerian music"
dataset/Ladipoe - Big energy.MP3,"energetic,happy, hip-hop, male, Nigerian"
dataset/Kenny_Sol_Ft_Peruzzi_-_Joli_Remix_.mp3,"upbeat,happy, Afrobeats, male, remix"
dataset/Jojobaby -Downtown.mp3,"upbeat,happy, pop, female, "
dataset/SUGARBANA FT BELLA SHMURDA AND BARRY JHAY - SHALAYE.mp3,"energetic, upbeat, afrobeats, mixed, collaboration"
dataset/Lifesize Teddy - Hypnotic.mp3,"Hypnotic, Electronic, Mixed, Pop"
dataset/Rexxie ft seyi vibez and dj 4kerty - Wallet.MP3,"energetic, upbeat, Afrobeats, male, collaboration"
dataset/Mumu.mp3,"upbeat, energetic, afrobeat, female, danceable"
dataset/Felo-Le-Tee-uDali-ft-Mellow-Sleazy-Noxolo-Ngema-Mawhoo.mp3,"upbeat,happy, amapiano, mixed, collaboration"
dataset/Patoranking - Abobi.MP3,"energetic, upbeat, dancehall, male, Nigerian music"
dataset/Guchi ft Ladipoe - Taken Over.mp3,"upbeat, energetic, Afrobeat, female, collaboration"
dataset/Zoro-Good-Life-ft-Mayorkun.mp3,"upbeat,happy, Afrobeats, male, collaboration"
dataset/TOWNBOY - Hustle 2 prodigal son.mp3,"energetic, determined, hip hop, male, urban, motivational"
dataset/Sarz - Spiritual Riddim.mp3,"energetic, uplifting, Afrobeat, male, instrumental"
dataset/Jaiye Foreing (Radio Edit) Tiwa Savage Ft Zinoleesky.mp3,"Energetic, Upbeat, Afrobeats, Female, Collaboration"
dataset/Illbliss - Bank Alert.mp3,"upbeat,happy, Afrobeat, Male, Nigerian"
dataset/Davido - Intro.MP3,"upbeat,happy, Afrobeat, male, intro"
dataset/Adekunle Gold Dont Be A Baby.mp3,"uplifting, empowering, Afrobeat, male, Nigerian artist, love song"
dataset/Yemi Alade - O Come All Ye Faithful.mp3,"joyful, festive, Christmas, gospel, female, N/A"
dataset/J-martins - Ogologo.MP3,"happy, upbeat, Afrobeat, male, party music"
dataset/Rowlene - Stop remix ft Nasty c dflamz radio .mp3,"energetic, upbeat, hip hop, female, remix, featuring Nasty C, radio edit"
dataset/Gesaffelstein ft the weekend - Lost in the fire.MP3,"sensual, dark, moody, electronic, R&B, male, collaboration"
dataset/Davido_-_For_The_Road.mp3,"upbeat,happy, Afrobeat, male, summer vibes"
dataset/Tekno - Peace of mind.MP3,"upbeat,happy,energetic, afrobeat, male, N/A"
dataset/Chike ft ric hassani - Nakupenda (sigag lauren remix).MP3,"romantic, upbeat, afrobeat, male, remix"
dataset/Second Sermon - Remix - ft-Burna-Boy dflamz radio .mp3,"energetic,dance, afrobeat, male, remix,featuring,radio"
dataset/Reminisce - Konsignment.mp3,"nostalgic, reflective, Afrobeat, Male, Nigerian"
dataset/MDU_aka_TRP_Semi_Tee_-_Ovii_ft_MaLemon_Mashudu.mp3,"energetic, upbeat, amapiano, male, collaboration, dance"
dataset/Ava max - Tom.MP3,"energetic,happy, pop, female, catchy"
dataset/Kid cudi ft eminem - The adventures of moon man and slim shady.MP3,"energetic, intense, hip hop, male, collaboration, iconic"
