audio,caption
dataset/Ice-Beats-Slide-Sbuda-Maleather-ft-Mr-JazziQ-My-Brada.mp3,"energetic, hype, Amapiano, Hip Hop, male, collaboration"
dataset/Lil tjay ft 6lack - Calling my phone.MP3,"melancholic, longing, hip hop, R&B, male, collaboration"
dataset/J cole - Pride is the devil.MP3,"proud, dark, hip-hop, male, introspective"
dataset/Ayra starr ft lojay - Running.MP3,"energetic, upbeat, afrobeats, mixed, "
dataset/Zhu & karnaval blues - Still want you.MP3,"chill, electronic, mixed, collaboration"
dataset/Hikaru utada and skrillex - Face my fears.MP3,"energetic, powerful, pop, electronic, mixed, collaboration, theme song"
dataset/Iyanya - Away.mp3,"upbeat,happy, Afropop, male, danceable"
dataset/Show Dem Camp - Old Flame ft Nesta x LadiPoe.mp3,"upbeat, nostalgic, Afrobeat, male, collaboration"
dataset/Dj Maphorisa - Izolo (Mixed)_(muzmo.pro).mp3,"upbeat,happy, afro house, male, "
dataset/Ckay - Love Nwatiti (KU3H Amapiano Remix).mp3,"upbeat, lively, Amapiano, male, remix"
dataset/Last memory - Take off.MP3,"nostalgic, uplifting, pop, electronic, male, fast tempo"
dataset/Terry Apala - Lock Up Ft Niniola.mp3,"energetic, lively, upbeat, Afrobeat, male, collaboration, Nigerian music"
dataset/King promise ft patoranking - Choplife.MP3,"upbeat, joyful, Afrobeats, male, collaboration"
dataset/Roddy ricch - Aston martin truck.MP3,"energetic, upbeat, hip hop, male, Roddy Ricch"
dataset/Tekno ft zlatan ibile - Agege.MP3,"energetic,dance, Afrobeats, male, collaboration"
dataset/Rotimi - Fall back.MP3,"upbeat, energetic, R&B, male, love song"
dataset/Olootu - E For Effort.mp3,"upbeat,happy, Afrobeat, male, "
dataset/Seyi Vibez - Para Boi.mp3,"energetic, upbeat, lively, Afrobeats, male, Nigerian artist, street vibe"
dataset/Shun breezy - Stammer.MP3,"breezy, pop, male, "
dataset/Pablo YG - Bima.mp3,"energetic,happy, pop, male, upbeat,summer vibes"
dataset/Bellashurmda - Loner .mp3,"lonely,sad, pop, female, "
dataset/Cardi b - Money.MP3,"energetic, confident, hip hop, female, explicit"
dataset/Wande Coal x Olamide x Phyno - Who You Epp (Refix).mp3,"energetic, hype, upbeat, Afrobeat, male, collaboration, Nigerian artists, remix"
dataset/Ejoya & soundz ft. teni - Morenike.MP3,"upbeat, energetic, afropop, mixed, collaboration"
dataset/Bella Alubo ft Falz - LAGOS 101.mp3,"upbeat, energetic, afrobeat, female, collaboration, Nigerian"
dataset/Vector - What's That.mp3,"energetic, upbeat, hip hop, male, suspenseful"
dataset/Blaqbonez - Okwaraji Ft Bella Shmurda.mp3,"energetic, upbeat, Afrobeats, male, collaboration"
dataset/Lady zamar - This is love.MP3,"upbeat, romantic, pop, female, South African"
dataset/Jax jones and ella henderson - This is real.MP3,"upbeat,happy, pop, mixed, "
dataset/Tate mcrae - You broke me first (luca schreiner remix).MP3,"sad, emotional, pop, electronic, female, remix"
dataset/Sheye Banks - Vybe & Riddim.mp3,"upbeat,dance, Afrobeat, Male, club banger"
"dataset/Sam feldt , lvndscape ft tessa - Know you better.MP3","upbeat, romantic, deep house, mixed, collaboration"
dataset/Phyno & Olamide - Road 2 Russia.mp3,"energetic, exciting, afrobeats, male, collaboration"
dataset/Omawumi ft kiss daniel - Me ke.MP3,"energetic, upbeat, Afrobeat, mixed, collaboration"
dataset/DopeNation -  SomeWay (Audio).mp3,"energetic,dance, Afrobeats, male, party"
dataset/Yxng bane ft stefflon don - Birthday.MP3,"energetic, celebratory, hip hop, male, female, collaboration, birthday"
dataset/Fiokee ft peruzzi and layydoe - You bad.MP3,"upbeat, energetic, Afrobeat, mixed, collaboration"
dataset/Floda Grea - Ran Away.mp3,"upbeat, happy, pop, female, catchy"
dataset/Timaya - Gbagam ft Phyno  Deettii.mp3,"energetic,danceable, afrobeat, male, collaboration, Nigerian music"
dataset/04-Ntokzin-Entshonalanga-Ft-Mashudu-Zar-Keyz-(JustNaija.com).mp3,"upbeat,happy,energetic, amapiano, male, collaboration"
dataset/Burna boy - Dey play.MP3,"upbeat,happy, afrobeat, male, "
dataset/DBN Gogo - Khuza Gogo_(muzmo.pro).mp3,"upbeat,dance, amapiano, female, club banger"
dataset/Naira marley - Puta.MP3,"energetic, upbeat, Afrobeats, male, popular, danceable"
dataset/CKay ft Ayra Starr - Come Close.mp3,"romantic, uplifting, Afrobeats, mixed, collaboration"
dataset/Khaid-Hold-Me.mp3,"romantic, soothing, pop, male, catchy"
dataset/Ice prince ft dj spinall - If i tell you.MP3,"upbeat, energetic, groovy, Afrobeat, Hip-hop, Male, collaboration, Nigerian artists"
dataset/Erica banks ft travis scott - Buss it (remix).MP3,"energetic, hype, hip hop, female, remix, collaboration"
dataset/Wizkid- Balance.mp3,"energetic, upbeat, Afrobeats, male, "
dataset/Nthabi Sings & Ntate Stunna – Chelete ft. Emtee & Lizwi Wokuqala.mp3,"upbeat, energetic, hip hop, mixed, collaboration"
dataset/Gb - Under lover.MP3,"mellow, romantic, pop, male, "
dataset/Ice Prince & Ckay - Shakara.mp3,"energetic, cheerful, afrobeats, male, collaboration"
dataset/Sykes-Leecose-Blvck-Steph-ft-ZolaniBeats-Sisekakeni-Babies-Remix.mp3,"upbeat, energetic, vibrant, hip hop, mixed, remix"
dataset/Royal Rumble - Jinmi Abduls.mp3,"energetic, upbeat, Afrobeats, male, Nigerian music"
dataset/Davido - Get to you.MP3,"upbeat, Afrobeats, male, pop"
dataset/Seyi Vibez Billion Dollar ( Radio Edit).mp3,"upbeat,happy, Afrobeats, male, pop"
dataset/Kah Lo - Fasta .mp3,"upbeat, energetic, dance, electronic, female, catchy"
dataset/Cheque Ft Empire  Off White.mp3,"energetic,upbeat, hip hop, male, collaboration"
dataset/Skales - Samba.mp3,"energetic, lively, Afrobeat, male, upbeat"
dataset/Blaqbonez - Big brother.MP3,"energetic,hype, hip hop, male, Nigerian"
dataset/Dookie x Kaystyle - Baby.mp3,"energetic, upbeat, hip hop, male, collaboration"
dataset/SMADA  ft ODUMODUBLVCK - PAPILO (Smadumodu).mp3,"upbeat, energetic, Afrobeats, male, collaboration"
dataset/Dua lipa - We're good.MP3,"upbeat,happy, pop, female, "
dataset/Blaqbonez Loyalty Radio Edit Clean Version.mp3,"energetic, upbeat, hip hop, male, clean version, radio edit"
dataset/Balloranking-Aye-Ft-Hotkid.mp3,"energetic,happy, Afrobeats, male, collaboration"
dataset/PLANTATION BOIZ - YOU AND I.mp3,"upbeat,happy, hip hop, male, "
dataset/Kcee ft Kiki Derika - Going.mp3,"upbeat, Afrobeats, male, collaboration"
dataset/Tekno-Wayo.mp3,"upbeat,happy,energetic, Afrobeats, male, danceable"
dataset/Rexxie ft.Teni - Boi Boi.mp3,"energetic, upbeat, Afrobeats, male, collaboration"
dataset/Qdot-Kanayo.mp3,"energetic, upbeat, Afrobeat, male, Nigerian music"
dataset/04-Falz-Who-Go-Pay-ft-Adekunle-Gold-(JustNaija.com).mp3,"upbeat, energizing, Afrobeat, male, collaboration"
dataset/Kendrick lamar - United in grief.MP3,"reflective,sad, hip-hop, male, collaboration"
dataset/Ayra-Starr Ft Giveon - Last Heartbreak Song.mp3,"heartbreak, emotional, R&B, Soul, Mixed, collaboration"
dataset/Kida-Kudz - Jiggy-Bop.mp3,"upbeat,happy, afrobeats, male, "
dataset/Spyro and tiwa savage - Who is your guy (remix).MP3,"energetic, lively, Afrobeats, Afro-pop, mixed, remix"
dataset/King-Promise ft Shallipopi - Continental.mp3,"energetic, upbeat, Afrobeats, male, collaboration"
dataset/YungMillz_Sista_Precious.mp3,"upbeat,happy, hip hop, male, "
dataset/Rema - Lady.MP3,"upbeat, energetic, afrobeats, male, Nigerian"
dataset/Mellow-Imnandi-lento-Ft-Sleazy-Sjavasdadeejay-TitoM-Tman-Xpress.mp3,"mellow, Afro House, mixed, collaboration"
dataset/Samba peuzzi ft rema - Mercedes.MP3,"upbeat, energetic, dance, afrobeat, pop, male, collaboration"
dataset/Astrid s - Emotion.MP3,"emotional, pop, female, love"
dataset/ZLATAN FT SEYI VIBES--LET THERE BE LIGHT.mp3,"uplifting, energetic, afrobeats, male, collaboration"
dataset/Soulroots-Mabali-Lemon-Herb-Remix-MIDH-055-ft-Toshi.mp3,"soulful, energetic, uplifting, afro house, female, remix, collaboration, featuring Toshi"
dataset/Jebson - Thebelebe(Original Mix).mp3,"upbeat, energetic, afro house, male, instrumental"
"dataset/King Groove, Bizizi & Kaygee Daking - Ama Supa (feat. Chronic Killer & Lusha).mp3","energetic,happy, amapiano, mixed, collaboration"
dataset/Juls & kojo funds - M.o.o.d.MP3,"chill, upbeat, Afrobeat, Hip-hop, mixed, collaboration"
dataset/Timaya ft burna boy - Pull up.MP3,"energetic, upbeat, Afrobeats, male, collaboration, Nigerian artist"
dataset/Professor ft feye - Brand new.MP3,"energetic, upbeat, afrobeat, male, collaboration, new release"
dataset/Busta 929 - Umsebenzi Wethu 20_(muzmo.pro).mp3,"energetic,upbeat, amapiano, male, South African music"
dataset/Ice price ft mstruff - Disco.MP3,"happy, energetic, disco, mixed, collaboration"
dataset/Chiké - Man Not God.mp3,"empowering, confident, Afrobeat, male, uplifting"
dataset/Mr 2kay - Sade.MP3,"love, romantic, Afrobeats, male, Nigerian"
dataset/Stefflon don - Juice.MP3,"energetic, upbeat, hip hop, female, party"
dataset/G2 amani - Your luv (fela in versace rhythm).MP3,"romantic, afrobeat, female, fela in versace"
dataset/Blaq jerzee ft jaz karis - Dangerous.MP3,"mellow, soulful, R&B, mixed, collaboration"
dataset/Peruzzi - Bayi Bayi ft Zlatan.mp3,"upbeat, energetic, Afrobeats, male, collaboration, Nigerian music"
dataset/Eddy-Kenzo-Kikube.mp3,"upbeat,happy, Afrobeat, male, dance"
dataset/DJ Neptune  Ou LaLa feat Savage  Erigga.mp3,"upbeat,dance, Afrobeats, male, collaboration,party"
dataset/Gyakie - December (Official Audio).mp3,"hopeful, cheerful, Afrobeats, female, uplifting"
dataset/RMHA - easy (feat. Afua).mp3,"calm, relaxed, R&B, Male, collaboration, smooth"
dataset/Sean-Tizzle-No-Shame-Ft-LAX.mp3,"happy, energetic, Afrobeats, male, collaboration"
dataset/Seyi Vibez - Migos.mp3,"energetic,happy, Afrobeats, male, Nigerian"
dataset/Oluwadamilola - Olololo(2).mp3,"joyful, energetic, Afrobeat, male, upbeat"
dataset/Skales - I Want You.mp3,"romantic, upbeat, Afrobeats, male, love song, danceable"
"dataset/Loose Kaynon, A-Q, M.I Abaga, Blaqbonez - Pray for the Crown.mp3","energetic, motivational, hip hop, male, collaboration"
dataset/Cdq & jaywillz ft wande coal - Addicted.MP3,"energetic, upbeat, Afrobeat, male, collaboration, addictive"
dataset/Elmina - I Still Want You.mp3,"sentimental, hopeful, pop, female, love, breakup"
dataset/Jon bellion - Conversations with my wife.MP3,"uplifting, sentimental, pop, male, love, marriage"
dataset/Bulow - Get stupid.MP3,"energetic, playful, pop, female, "
dataset/Skiibi - Skibobo ft D Tunes.mp3,"upbeat, energetic, Afrobeat, male, collaboration, danceable"
dataset/Charlie puth - I warned myself.MP3,"sultry, reflective, pop, male, Charlie Puth, I Warned Myself"
dataset/Boj-Sweet-Life-Ft-Ajebutter22-Show-Dem-Cam.mp3,"upbeat,happy, Afrobeats, male, collaboration"
dataset/Simi - Joromi.mp3,"upbeat, happy, romantic, Afro-pop, female, Nigerian"
dataset/Kabza-De-small-x-Dj-Maphorisa  ft Mdu-Trp Malemo - Pick A Box.mp3,"energetic, upbeat, amapiano, male, collaboration, South African music"
dataset/Davido-UNAVAILABLE-Sean-Paul-DING-DONG-Remix-Ft-Sean-Paul-DING-DONG-Musa-Keys.mp3,"energetic, dance, Afrobeat, Dancehall, male, remix, collaboration"
dataset/14-Victor-AD-MIDF-Na-Money-I-Dey-Find.mp3,"upbeat,happy, Afrobeat, male, Nigerian"
dataset/Masauti-BangBang.mp3,"energetic, upbeat, afropop, male, danceable"
dataset/Ciara ft summer walker - Better thangs.MP3,"upbeat, empowering, R&B, female, collaboration"
dataset/Makhadzi Entertainment - Dear EX (Zwininakele) feat. Mashudu & Mizo Phyll.mp3,"upbeat, energetic, afro-pop, female, collaboration"
dataset/M-Kaze - Sweet.mp3,"upbeat,happy, Afrobeat, male, love song"
dataset/STYL PLUS - IYA BASIRA.mp3,"upbeat,happy, Afro pop, male, Nigerian"
dataset/Skales - Fire Waist Ft Harmonize.mp3,"energetic, upbeat, afrobeat, male, collaboration"
dataset/Ice Prince - Brooklyn ft Dice Ailes.mp3,"chill, upbeat, hip hop, male, collaboration"
dataset/Offset - 54321.MP3,"energetic, hype, rap, male, Offset"
dataset/Dj big n ft rema - Ogologoma.MP3,"energetic, upbeat, Afrobeats, male, collaboration, popular"
dataset/Soa mattrix & Mashudu - Thelela.mp3,"upbeat, energetic, afro-house, mixed, collaboration"
dataset/TNK-Musiq-Hayi-Baleka-Ft-DJ-Maphorisa-Riky-Lenyora-Tman-Xpress-Ricky-Lenyora-Tman-Xpress-(JustNaija.com).mp3,"energetic, upbeat, afro-house, male, collaboration, South African music"
dataset/A SWXG - PROMISE.mp3,"upbeat,happy, pop, mixed, energetic, catchy"
dataset/Sauti sol ft nyashinski - Short and sweet.MP3,"uplifting,happy, afro-pop, mixed, "
dataset/Burna-Boy-Sittin-On-Top-Of-The-World-ft-21-Savage.mp3,"energetic,confident, Afrobeat, male, collaboration,hip hop"
dataset/Ayra Starr ft Giveon - last heartbreak song.mp3,"heartbreak, emotional, R&B, Pop, female, collaboration, slow tempo"
"dataset/Alison wonderland , blessus - Here 4 us.MP3","upbeat, energetic, electronic, female, collaboration"
dataset/Illbliss ft olamide - Forty feet (containers).MP3,"energetic, powerful, hip hop, male, collaboration, Nigerian artists"
dataset/Eddy-Kenzo-Together.mp3,"upbeat,happy, afrobeat, male, collaboration"
dataset/Ice Prince - N Word ft AKA.mp3,"energetic, upbeat, hip hop, male, collaboration"
dataset/DAYANA FT CAMIDOH - UP FOR LOVE.mp3,"romantic, upbeat, afrobeat, female, collaboration"
dataset/Diamond Platnumz Ft Chike - My Baby .mp3,"romantic, joyful, Afrobeat, male, collaboration"
dataset/Mr Eazi X GuiltyBeatz X J Derobie X Sherrie Silver - Freedom.mp3,"energetic, uplifting, Afrobeats, mixed, collaboration"
dataset/Bad Boy Timz - Mental.mp3,"energetic, upbeat, Afrobeats, male, Nigerian"
dataset/ODUMODUBLVCK ft Blaqbonez - TESLA-BOY.mp3,"energetic, upbeat, hip hop, male, collaboration, rap"
dataset/KabzaDe small x Dj Maphoris ft Shino Kikai Jessica LM - Why Ngilahla-Dali.mp3,"energetic,happy, Amapiano, male, "
dataset/Quinn xcii ft yoshi flower - Werewolf.MP3,"energetic, upbeat, pop, male, "
dataset/Dj Kaywise - Caro Ft Falz & Tekno.mp3,"upbeat, energetic, afrobeats, male, collaboration"
dataset/SPINALL feat Asake  PALAZZO.mp3,"energetic, upbeat, Afrobeats, male, collaboration, Nigerian music"
dataset/BNXN fka Buju & Olamide - Modupe.mp3,"upbeat, grateful, Afrobeats, male, collaboration, Nigerian"
dataset/Wurld - Sarafina.mp3,"uplifting, energetic, passionate, Afrobeat, R&B, male, Nigerian"
dataset/Tyla ft ayra starr - Girl next door.MP3,"upbeat, catchy, afrobeat, pop, female, collaboration"
dataset/Vector-Emi Dflamz Radio.mp3,"energetic, upbeat, hip hop, rap, male, collaboration"
dataset/Mafa-Mafa-f.-Davido-The-Flowolf-Peruzzi-Dremo dflamz radio .mp3,"energetic, upbeat, afrobeats, mixed, collaboration, Nigerian artists"
dataset/Becca ft kizz daniel - Gina.MP3,"upbeat, romantic, Afrobeat, female, duet, collaboration"
dataset/Ladipoe - Lemme know.MP3,"chill, relaxed, Afrobeat, male, Ladipoe"
"dataset/BoyPee Ft Davido Ft  , Hyce, Brown Joel - Ogechi Remix.mp3","energetic,happy, afrobeats, male, remix, collaboration"
dataset/Harrysong - Meta.MP3,"upbeat,happy, Afrobeat, male, Nigerian"
dataset/Future ft youngboy never broke - Trillionaire.MP3,"energetic,hype, hip hop, male, collaboration"
dataset/Youngboy never broke again - Make no sense.MP3,"energetic, powerful, hip hop, male, trap"
dataset/Waje ft johnny drille - Udue.MP3,"romantic, Afrobeat, female, collaboration"
dataset/Oxlade - Want you.MP3,"romantic, nostalgic, Afrobeats, male, love song, R&B"
dataset/Zlatan - Jogor ft Lil Kesh  Naira Marley.mp3,"energetic, upbeat, Afrobeats, Hip hop, male, collaboration"
dataset/Ruger-Bae-Bae-ft-Bnxn.mp3,"upbeat, romantic, afrobeat, male, collaboration"
dataset/Kabza De Small & DJ Maphorisa Funu-ft.-Tresor.mp3,"upbeat, energetic, Amapiano, male, collaboration, popular"
dataset/16-Tommy-Flavour-Utulie-ft-Mwana-FA.mp3,"upbeat, energetic, Bongo Flava, male, collaboration"
dataset/Rayvanny Ft Zuchu  I Miss You .mp3,"nostalgic, longing, bongo flava, mixed, Tanzanian music"
dataset/Wizkid ft ayra starr - 2 sugar.MP3,"upbeat, lively, afrobeats, mixed, collaboration"
dataset/Blaqbonez - Shut up.MP3,"energetic, confident, hip-hop, male, Nigeria, rap"
dataset/Jhene aiko - Speak.MP3,"calm, reflective, r&b, female, soulful"
dataset/May-D-Time-No-Dey-Ft-Rudeboy.mp3,"upbeat,dance, Afrobeats, male, collaboration"
dataset/Jnr choi - To the moon.MP3,"upbeat, optimistic, pop, male, energetic, catchy"
"dataset/Crayon ft camidoh, costa titch, focalistic - Ijo (laba laba).MP3","fun, energetic, Afrobeats, mixed, collaboration"
dataset/Jaido P - Gbeff.mp3,"energetic, upbeat, Afrobeats, male, Nigeria, collaboration"
dataset/Seyi Vibez Bullion Van Radio Edit Clean Version 2022.mp3,"energetic, upbeat, Afrobeat, male, clean version"
dataset/Pocolee ft olamide & portable - Zazoo zehh.MP3,"energetic, lively, Afrobeats, male, collaboration, dance"
dataset/Ballads Of A Lost Boy Word Poet (Radio Edit) Erigga.mp3,"melancholic, reflective, hip hop, male, word poet, radio edit"
dataset/Guchi -Mon-B-b-.mp3,"energetic, lively, pop, female, upbeat"
dataset/Crayon - Too Correct Ft Rema.mp3,"upbeat,happy, Afrobeats, male, collaboration"
dataset/Mama Maradona (Radio Edit) Vector ft Wande Coal.mp3,"energetic, upbeat, Afrobeat, male, collaboration, radio edit"
dataset/Wizard-Chan-Stages-Of-Life.mp3,"magical, mystical, adventurous, electronic, female, fantasy, anime"
dataset/Kcee - Akonuche.MP3,"upbeat,happy, Afrobeats, male, "
dataset/Young thug ft. with stick - Die slow.MP3,"energetic, dark, rap, male, collaboration"
dataset/Wande Coal - Go Low.mp3,"energetic, dance, Afrobeat, male, club banger, upbeat"
dataset/Ludacris and chance the rapper - Found you.MP3,"energetic,happy, hip hop, male, collaboration"
dataset/Mohbad-PARIWO-ft-Bella-Shmurda.mp3,"upbeat, energetic, afrobeats, male, collaboration"
dataset/Kabza De Small - Need You Tonight(feat Wizkid).mp3,"upbeat, dance, amapiano, male, collaboration, featured artist"
dataset/Praiz - Rich & Famous.mp3,"uplifting, inspirational, soulful, R&B, male, Nigerian artist"
dataset/Kiiara - Love is a bad word.MP3,"sad, emotional, pop, female, heartbreak"
dataset/Omah lay - Joanna.MP3,"upbeat, groovy, Afrobeats, male, Nigerian"
dataset/Omah lay ft justin bieber - Attention.MP3,"energetic, catchy, afrobeat, pop, male, collaboration"
dataset/Wande coal ft olamide - Kpe paso.MP3,"energetic, lively, Afrobeats, male, collaboration, Nigerian"
dataset/Lade - Ma Wo Mi.mp3,"upbeat, happy, Afrobeats, female, Nigerian"
dataset/Jay-Som-tshelu-Ma-Ft-Ghosty-Njebstardedrum-Shoden-Cognac.mp3,"chill, mellow, hip hop, mixed, collaboration"
dataset/The chainsmokers and aazar - Siren.MP3,"energetic,hype, edm, mixed, collaboration"
dataset/Solid Star - Super Eagles.mp3,"upbeat, energetic, Afrobeats, male, sports, Nigerian music"
dataset/Pcee x Justin99 x EeQue - ZoTata  ft. Mr JazziQ.mp3,"energetic, dance, amapiano, male, collaboration, featuring Mr JazziQ"
dataset/King promise - Slow down.MP3,"relaxed,chill, Afrobeats, male, romantic"
dataset/Patoranking-HIGHER.mp3,"uplifting,happy, Afrobeat, male, "
dataset/Victor AD - Wetin we Gain.mp3,"inspirational, reflective, Afrobeats, male, Nigerian music, motivational"
dataset/Kida kudz - Moonwalk.MP3,"upbeat, energetic, Afrobeat, male, danceable"
dataset/Martinsfeelz - Show me.MP3,"emotional, upbeat, Afrobeat, male, love, relationship"
dataset/Gospelondebeatz ft davido & peruzzi - Run am.MP3,"upbeat, energetic, Afrobeats, Male, collaboration"
dataset/Jaymes young - Infinity.MP3,"melancholic, introspective, pop, male, singer-songwriter"
dataset/DJ-Jace-Yete-Yete-ft-Thodah-Unstoppable-Dj-Nero-Ltd-Rose-Lost-Kid.mp3,"upbeat,happy, Afrobeats, male, collaboration,energetic"
dataset/Nqubzin hunterz tradenark ft rudeboyz and flexy - Msebenzise.MP3,"energetic, upbeat, Gqom, Mixed, collaboration, dance"
dataset/King Promise Ft  Sarkodie  Olivetheboy - Favorite Story.mp3,"upbeat, sentimental, Afrobeat, male, collaboration, storytelling"
dataset/Kwiish_SA_feat_T-SLEEK_Da_Muziqal_Chef_-_My_Number_One_Main_Mix_Main_Mix_72572132.mp3,"upbeat,happy, Amapiano, male, collaboration"
dataset/Davido ft. chris brown and young thug - Shopping spree.MP3,"exciting, energetic, Afrobeats, R&B, male, collaboration"
dataset/Mawhoo-Tycoon-ft-Marcus-MC-Ngizowela.mp3,"upbeat, energetic, afro-house, male, collaboration"
dataset/Del B - Consider ft  Flavour & Wizkid.mp3,"upbeat,happy, Afrobeat, mixed, collaboration"
dataset/Caltonic SA John Bravo - Siyabalandela_(muzmo.pro).mp3,"energetic,upbeat, amapiano, male, collaboration"
dataset/Odumodublvck Ft Fireboy DML FireGun.mp3,"energetic, upbeat, Afrobeats, male, collaboration"
dataset/Olamide ft empire - Wound someone.MP3,"energetic, upbeat, Afrobeats, Hip hop, male, collaboration"
dataset/Bharbykiki - Fallen mp3.mp3,"sad, melancholic, pop, female, heartbreak"
dataset/Lil kesh - All the way.MP3,"upbeat,happy, Afrobeats, male, Nigerian"
dataset/Juls Ft FireBoyDml Intentionally.mp3,"upbeat, romantic, Afrobeats, male, collaboration"
dataset/Blaqbonez Like Bezos.mp3,"energetic, confident, hip hop, male, Nigeria, rap"
dataset/SWEAT - SARZ X WURLD.mp3,"energetic, groovy, Afrobeat, male, collaboration, Nigerian"
dataset/Wizkid - Joro.MP3,"upbeat, romantic, Afrobeat, male, Nigerian"
dataset/Focalistic-Fire-Radio-Edit-ft-MHD-Felo-Le-Tee-Mellow-and-Sleazy.mp3,"energetic, upbeat, afrobeat, amapiano, male, collaborative, danceable"
dataset/Gdzilla-Rise-and-Shine.mp3,"energetic, powerful, hip hop, male, upbeat"
dataset/Basiil - Jo.mp3,"upbeat,happy, pop, male, catchy"
dataset/Sfarzo-Rtee-FORESHORE-PLACE-ft-Chronical-Deep.mp3,"Chill, Relaxing, Ambient, Deep House, Mixed, Collaboration"
dataset/Drama relax ft jeremih - All that.MP3,"relaxing, romantic, R&B, mixed, collaboration, chill"
dataset/Que peller ft 9ice - Ishe nla.MP3,"upbeat,happy, Afrobeat, male, collaboration"
dataset/Skales - Keresimesi.mp3,"festive, upbeat, Afrobeat, male, Christmas"
dataset/Da baby - Trickin.MP3,"energetic, confident, rap, male, upbeat"
dataset/Bhadboi-OML-Tomford-Remix-Ft-Blaqbonez-Jeriq.mp3,"energetic, upbeat, hip hop, male, remix, collaboration, rap"
dataset/Wande-Coal ft T-Pain -Streets.mp3,"upbeat, afrobeat, male, collaboration"
"dataset/Tiwa Savage ft Zacardi,Cortez - I Need You.mp3","romantic, upbeat, Afrobeats, R&B, female, collaboration"
dataset/Qing Madi - American Love.mp3,"romantic, nostalgic, pop, female, Chinese"
dataset/Korede Bello - Mi Casa Su Casa.mp3,"happy, love, Afropop, male, smooth"
dataset/Lovn-Abena-Naijapickup.com.mp3,"romantic, soothing, afrobeat, female, Nigerian, love song"
dataset/TIMAYA - TOMATO.mp3,"upbeat,happy, afrobeat, male, danceable"
dataset/DJ Neptune - Blood & Fire Ft  M I Abaga & Jesse Jagz.mp3,"energetic, powerful, hip hop, male, collaboration"
dataset/Mabenzo-2k-Madiba-ft-Queller-Du-Pour-Delewa-Disciple.mp3,"energetic, uplifting, afro-beats, male, collaboration, African artists"
dataset/LuuDadeejay-Ngim-Khumbule-ft-Russell-Zuma.mp3,"energetic,happy, amapiano, male, collaboration"
dataset/Kizz daniel ft tekno - Buga.MP3,"energetic, upbeat, Afrobeats, male, collaboration"
dataset/Stu-Vulindlela-Ft-Vusi-Nova-WakMa-Tall-And-Ssips-(JustNaija.com).mp3,"upbeat,dance, Afro-pop, male, collaboration"
dataset/SIMI-TIFF.mp3,"melancholic, soulful, R&B, female, Nigerian"
dataset/DJ-Stokie-Silent-Killa-ft-Sipho-Magudulela-Jay-Sax.mp3,"energetic,upbeat, amapiano, male, instrumental"
dataset/TENI - YBGFA.mp3,"upbeat, energetic, lively, afrobeat, female, Nigeria"
"dataset/Lulu, Mathumela Band - Ndilibe.mp3","upbeat, energetic, happy, afro-pop, female, collaboration, African music"
dataset/D Incredible dj ft Sunkkeysnoop - Ahun Clean.mp3,"upbeat,dance, afrobeats, mixed, collaboration"
dataset/Dremo ft mayorkun - E be tins.MP3,"upbeat, energetic, afrobeat, male, collaboration"
